
run-applescript,7.1.0
default-browser-id,5.0.1
bundle-name,4.1.0
wsl-utils,0.1.0
is-wsl,3.1.0
is-inside-container,1.0.0
is-docker,3.0.0
default-browser,5.4.0
glob-to-regex.js,1.2.0
flat,5.0.2
clean-stack,2.2.0
aggregate-error,3.1.0
p-map,4.0.0
nice-try,1.0.5
strip-eof,1.0.0
json-parse-better-errors,1.0.2
@types/normalize-package-data,2.4.4
toggle-selection,1.0.6
ts-easing,0.2.0
throttle-debounce,3.0.1
set-harmonic-interval,1.0.1
screenfull,5.2.0
resize-observer-polyfill,1.5.1
react-universal-interface,0.6.2
js-cookie,2.2.1
fast-shallow-equal,1.0.0
copy-to-clipboard,3.3.3
@xobotyi/scrollbar-width,1.9.5
@types/js-cookie,2.2.7
regenerator-runtime,0.13.11
env-paths,2.2.1
char-regex,1.0.2
emittery,0.13.1
@emnapi/wasi-threads,1.1.0
tslib,2.8.1
@tybys/wasm-util,0.10.1
tslib,2.8.1
@emnapi/runtime,1.7.1
tslib,2.8.1
@emnapi/core,1.7.1
tslib,2.8.1
@napi-rs/wasm-runtime,0.2.12
napi-postinstall,0.3.4
@unrs/resolver-binding-win32-x64-msvc,1.11.1
@unrs/resolver-binding-win32-ia32-msvc,1.11.1
@unrs/resolver-binding-win32-arm64-msvc,1.11.1
@unrs/resolver-binding-wasm32-wasi,1.11.1
@unrs/resolver-binding-linux-x64-musl,1.11.1
@unrs/resolver-binding-linux-x64-gnu,1.11.1
@unrs/resolver-binding-linux-s390x-gnu,1.11.1
@unrs/resolver-binding-linux-riscv64-musl,1.11.1
@unrs/resolver-binding-linux-riscv64-gnu,1.11.1
@unrs/resolver-binding-linux-ppc64-gnu,1.11.1
@unrs/resolver-binding-linux-arm64-musl,1.11.1
@unrs/resolver-binding-linux-arm64-gnu,1.11.1
@unrs/resolver-binding-linux-arm-musleabihf,1.11.1
@unrs/resolver-binding-linux-arm-gnueabihf,1.11.1
@unrs/resolver-binding-freebsd-x64,1.11.1
@unrs/resolver-binding-darwin-x64,1.11.1
@unrs/resolver-binding-darwin-arm64,1.11.1
@unrs/resolver-binding-android-arm64,1.11.1
@unrs/resolver-binding-android-arm-eabi,1.11.1
unrs-resolver,1.11.1
cjs-module-lexer,2.1.1
@pkgr/core,0.2.9
synckit,0.11.11
@jest/snapshot-utils,30.2.0
supports-color,7.2.0
chalk,4.1.2
@babel/plugin-syntax-typescript,7.27.1
@babel/plugin-syntax-jsx,7.27.1
pure-rand,7.0.1
dedent,1.7.0
@jest/expect,30.2.0
escape-string-regexp,2.0.0
react-is,18.3.1
stack-utils,2.0.6
@types/stack-utils,2.0.3
supports-color,7.2.0
semver,7.7.3
pretty-format,30.2.0
ansi-styles,5.2.0
jest-message-util,30.2.0
chalk,4.1.2
jest-snapshot,30.2.0
jest-circus,30.2.0
escape-string-regexp,2.0.0
