"Package","Version","ReleaseDate"
"run-applescript","7.1.0","2025-09-09T13:42:36.477Z"
"default-browser-id","5.0.1","2025-11-14T07:11:37.981Z"
"bundle-name","4.1.0","2023-12-18T23:18:40.946Z"
"wsl-utils","0.1.0","2025-05-23T23:47:12.897Z"
"is-wsl","3.1.0","2023-09-25T05:58:41.397Z"
"is-inside-container","1.0.0","2023-02-15T06:50:49.428Z"
"is-docker","3.0.0","2021-08-31T23:02:35.148Z"
"default-browser","5.4.0","2025-11-15T07:34:34.268Z"
"glob-to-regex.js","1.2.0","2025-10-03T13:09:31.841Z"
"flat","5.0.2","2020-08-06T15:29:02.438Z"
"clean-stack","2.2.0","2019-07-31T15:24:56.235Z"
"aggregate-error","3.1.0","2020-08-21T22:29:47.896Z"
"p-map","4.0.0","2020-03-05T08:42:45.749Z"
"nice-try","1.0.5","2018-08-25T19:03:09.537Z"
"strip-eof","1.0.0","2015-12-05T11:49:53.556Z"
"json-parse-better-errors","1.0.2","2018-03-30T15:08:03.275Z"
"@types/normalize-package-data","2.4.4","2023-11-07T12:04:03.711Z"
"toggle-selection","1.0.6","2017-07-24T18:50:13.231Z"
"ts-easing","0.2.0","2018-11-13T17:49:37.704Z"
"throttle-debounce","3.0.1","2020-11-02T11:14:00.404Z"
"set-harmonic-interval","1.0.1","2019-10-23T08:05:12.882Z"
"screenfull","5.2.0","2021-11-03T06:15:48.878Z"
"resize-observer-polyfill","1.5.1","2018-12-09T15:41:22.096Z"
"react-universal-interface","0.6.2","2020-05-29T21:09:35.032Z"
"js-cookie","2.2.1","2019-08-06T13:49:13.120Z"
"fast-shallow-equal","1.0.0","2020-01-08T00:17:19.616Z"
"copy-to-clipboard","3.3.3","2022-11-13T21:14:04.484Z"
"@xobotyi/scrollbar-width","1.9.5","2020-03-25T15:38:19.093Z"
"@types/js-cookie","2.2.7","2021-07-06T21:44:59.057Z"
"regenerator-runtime","0.13.11","2022-11-14T18:15:22.830Z"
"env-paths","2.2.1","2021-03-08T12:31:06.769Z"
"char-regex","1.0.2","2020-02-18T09:51:29.803Z"
"emittery","0.13.1","2022-08-25T09:32:20.391Z"
"@emnapi/wasi-threads","1.1.0","2025-08-28T09:32:28.975Z"
"tslib","2.8.1","2024-10-31T22:42:48.624Z"
"@tybys/wasm-util","0.10.1","2025-09-11T14:27:35.250Z"
"tslib","2.8.1","2024-10-31T22:42:48.624Z"
"@emnapi/runtime","1.7.1","2025-11-14T06:33:06.871Z"
"tslib","2.8.1","2024-10-31T22:42:48.624Z"
"@emnapi/core","1.7.1","2025-11-14T06:33:16.879Z"
"tslib","2.8.1","2024-10-31T22:42:48.624Z"
"@napi-rs/wasm-runtime","0.2.12","2025-07-10T14:04:01.668Z"
"napi-postinstall","0.3.4","2025-10-04T06:35:32.966Z"
"@unrs/resolver-binding-win32-x64-msvc","1.11.1","2025-07-09T14:57:28.638Z"
"@unrs/resolver-binding-win32-ia32-msvc","1.11.1","2025-07-09T14:57:33.659Z"
"@unrs/resolver-binding-win32-arm64-msvc","1.11.1","2025-07-09T14:57:31.149Z"
"@unrs/resolver-binding-wasm32-wasi","1.11.1","2025-07-09T14:58:15.663Z"
"@unrs/resolver-binding-linux-x64-musl","1.11.1","2025-07-09T14:57:38.859Z"
"@unrs/resolver-binding-linux-x64-gnu","1.11.1","2025-07-09T14:57:36.086Z"
"@unrs/resolver-binding-linux-s390x-gnu","1.11.1","2025-07-09T14:58:08.203Z"
"@unrs/resolver-binding-linux-riscv64-musl","1.11.1","2025-07-09T14:58:05.875Z"
"@unrs/resolver-binding-linux-riscv64-gnu","1.11.1","2025-07-09T14:58:03.455Z"
"@unrs/resolver-binding-linux-ppc64-gnu","1.11.1","2025-07-09T14:58:00.535Z"
"@unrs/resolver-binding-linux-arm64-musl","1.11.1","2025-07-09T14:57:49.436Z"
"@unrs/resolver-binding-linux-arm64-gnu","1.11.1","2025-07-09T14:57:46.771Z"
"@unrs/resolver-binding-linux-arm-musleabihf","1.11.1","2025-07-09T14:57:57.851Z"
"@unrs/resolver-binding-linux-arm-gnueabihf","1.11.1","2025-07-09T14:57:54.911Z"
"@unrs/resolver-binding-freebsd-x64","1.11.1","2025-07-09T14:57:41.076Z"
"@unrs/resolver-binding-darwin-x64","1.11.1","2025-07-09T14:58:10.656Z"
"@unrs/resolver-binding-darwin-arm64","1.11.1","2025-07-09T14:58:13.389Z"
"@unrs/resolver-binding-android-arm64","1.11.1","2025-07-09T14:57:43.772Z"
"@unrs/resolver-binding-android-arm-eabi","1.11.1","2025-07-09T14:57:51.983Z"
"unrs-resolver","1.11.1","2025-07-09T14:58:18.146Z"
"cjs-module-lexer","2.1.1","2025-11-07T22:51:11.922Z"
"@pkgr/core","0.2.9","2025-07-18T18:51:58.942Z"
"synckit","0.11.11","2025-07-19T05:07:12.706Z"
"@jest/snapshot-utils","30.2.0","2025-09-28T07:32:40.401Z"
"supports-color","7.2.0","2020-08-28T11:17:34.870Z"
"chalk","4.1.2","2021-07-30T12:02:52.839Z"
"@babel/plugin-syntax-typescript","7.27.1","2025-04-30T15:08:43.818Z"
"@babel/plugin-syntax-jsx","7.27.1","2025-04-30T15:08:41.413Z"
"pure-rand","7.0.1","2025-02-07T01:10:22.493Z"
"dedent","1.7.0","2025-09-03T18:09:19.893Z"
"@jest/expect","30.2.0","2025-09-28T07:32:54.915Z"
"escape-string-regexp","2.0.0","2019-04-17T07:49:09.559Z"
"react-is","18.3.1","2024-04-26T16:43:05.719Z"
"stack-utils","2.0.6","2022-11-08T15:39:54.449Z"
"@types/stack-utils","2.0.3","2023-11-07T17:00:38.573Z"
"supports-color","7.2.0","2020-08-28T11:17:34.870Z"
"semver","7.7.3","2025-10-07T18:00:51.643Z"
"pretty-format","30.2.0","2025-09-28T07:32:42.603Z"
"ansi-styles","5.2.0","2021-03-31T07:15:34.766Z"
"jest-message-util","30.2.0","2025-09-28T07:32:45.181Z"
"chalk","4.1.2","2021-07-30T12:02:52.839Z"
"jest-snapshot","30.2.0","2025-09-28T07:32:52.925Z"
"jest-circus","30.2.0","2025-09-28T07:33:00.934Z"
"escape-string-regexp","2.0.0","2019-04-17T07:49:09.559Z"
"react-is","18.3.1","2024-04-26T16:43:05.719Z"
"brace-expansion","2.0.2","2025-06-11T08:48:36.535Z"
"camelcase","6.3.0","2022-01-01T20:29:34.388Z"
"semver","7.7.3","2025-10-07T18:00:51.643Z"
"jest-validate","30.2.0","2025-09-28T07:32:44.364Z"
"jest-worker","30.2.0","2025-09-28T07:32:46.799Z"
"supports-color","8.1.1","2021-01-23T09:21:36.393Z"
"minipass","7.1.2","2024-05-24T00:42:21.149Z"
"minimatch","9.0.5","2024-06-25T22:41:02.824Z"
"jest-resolve","30.2.0","2025-09-28T07:32:50.644Z"
"jest-regex-util","30.0.1","2025-06-18T22:31:17.002Z"
"jest-haste-map","30.2.0","2025-09-28T07:32:48.731Z"
"glob","10.5.0","2025-11-18T01:34:51.120Z"
"@jest/source-map","30.0.1","2025-06-18T22:31:17.307Z"
"@jest/globals","30.2.0","2025-09-28T07:32:56.801Z"
"@types/stack-utils","2.0.3","2023-11-07T17:00:38.573Z"
"supports-color","7.2.0","2020-08-28T11:17:34.870Z"
"@jest/console","30.2.0","2025-09-28T07:32:47.487Z"
"stack-utils","2.0.6","2022-11-08T15:39:54.449Z"
"pretty-format","30.2.0","2025-09-28T07:32:42.603Z"
"ansi-styles","5.2.0","2021-03-31T07:15:34.766Z"
"p-limit","3.1.0","2020-11-25T07:42:37.364Z"
"jest-snapshot","30.2.0","2025-09-28T07:32:52.925Z"
"jest-runtime","30.2.0","2025-09-28T07:32:58.764Z"
"jest-message-util","30.2.0","2025-09-28T07:32:45.181Z"
"jest-each","30.2.0","2025-09-28T07:32:44.649Z"
"chalk","4.1.2","2021-07-30T12:02:52.839Z"
"@jest/test-result","30.2.0","2025-09-28T07:32:52.863Z"
"eastasianwidth","0.2.0","2018-01-01T09:26:07.460Z"
"wrap-ansi-cjs","7.0.0",
"strip-ansi-cjs","6.0.1",
"string-width-cjs","4.2.3",
"@pkgjs/parseargs","0.11.0","2022-10-10T14:18:44.810Z"
"@isaacs/cliui","8.0.2","2023-05-02T03:24:28.835Z"
"ansi-styles","6.2.3","2025-09-08T14:52:15.705Z"
"ansi-regex","6.2.2","2025-09-08T14:48:14.264Z"
"emoji-regex","9.2.2","2021-03-02T10:58:09.319Z"
"wrap-ansi","8.1.0","2023-01-23T10:13:24.890Z"
"strip-ansi","7.1.2","2025-09-08T15:05:29.146Z"
"string-width","5.1.2","2022-02-28T08:22:05.036Z"
"path-scurry","1.11.1","2024-05-12T02:47:20.787Z"
"minipass","7.1.2","2024-05-24T00:42:21.149Z"
"lru-cache","10.4.3","2024-07-09T17:20:52.211Z"
"package-json-from-dist","1.0.1","2024-09-26T18:59:08.941Z"
"jackspeak","3.4.3","2024-07-10T15:50:20.040Z"
"foreground-child","3.3.1","2025-02-24T16:47:52.413Z"
"signal-exit","4.1.0","2023-07-29T05:44:56.721Z"
"exit-x","0.2.2","2024-12-04T14:22:55.906Z"
"path-is-inside","1.0.2","2016-09-10T23:35:10.802Z"
"which-module","1.0.0","2016-06-06T05:54:13.093Z"
